City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,krasnokamensk,92,RU,1526365311,88,50.1,118.04,49.45,11.45
156,bichena,0,ET,1526365312,31,10.45,38.2,78.34,2.39
157,gumdag,76,TM,1526365312,68,39.2,54.59,71.32,3.74
158,pacific grove,90,US,1526363640,76,36.62,-121.92,55.4,4.7
159,mumford,64,GH,1526365313,95,5.26,-0.76,76.09,4.74
160,carnarvon,0,ZA,1526364791,92,-30.97,22.13,40.36,8.43
161,santiago del estero,8,AR,1526365314,91,-27.8,-64.26,59.26,2.84
162,puerto ayacucho,80,CO,1526365314,100,5.66,-67.63,72.94,3.06
163,hofn,92,IS,1526365122,100,64.25,-15.21,42.79,7.2
164,iqaluit,90,CA,1526360400,92,63.75,-68.52,15.8,3.36
165,minas de barroteran,0,MX,1526365315,67,27.63,-101.28,76.18,9.66
166,kabanjahe,56,ID,1526365316,100,3.1,98.49,72.13,0.72
167,norman wells,90,CA,1526360400,100,65.28,-126.83,33.8,2.24
168,port elizabeth,1,US,1526360880,93,39.31,-74.98,69.8,3.36
169,port hardy,20,CA,1526360400,81,50.7,-127.42,53.6,2.24
170,cherskiy,88,RU,1526364882,83,68.75,161.3,36.85,1.39
171,sabha,100,LY,1526365318,23,27.03,14.43,78.52,13.69
172,warrington,90,GB,1526363400,93,53.39,-2.59,50.0,1.12
173,vestmannaeyjar,88,IS,1526364803,97,63.44,-20.27,39.37,12.35
174,selcuk,0,TR,1526363400,64,37.95,27.37,69.8,3.36
175,dubbo,20,AU,1526364000,71,-32.25,148.6,66.2,5.82
176,general roca,0,AR,1526364000,61,-39.03,-67.58,48.2,6.93
177,naze,20,NG,1526360400,94,5.43,7.07,75.2,3.4
178,mogzon,92,RU,1526365322,62,51.74,111.97,47.83,6.08
179,beringovskiy,76,RU,1526364946,92,63.05,179.32,35.05,3.18
180,mogwase,56,ZA,1526365323,94,-25.28,27.22,50.89,5.19
181,muzaffarabad,80,PK,1526365323,73,34.37,73.47,69.79,2.62
182,atar,0,MR,1526365324,28,20.52,-13.05,66.91,5.08
183,komsomolskiy,12,RU,1526364920,97,67.55,63.78,18.49,15.14
184,kulhudhuffushi,68,MV,1526365186,100,6.62,73.07,85.09,8.55
185,marzuq,0,YE,1526365039,31,14.4,46.47,81.4,3.62
186,flinders,75,AU,1526360400,63,-34.58,150.85,60.8,9.17
187,kahului,75,US,1526363640,94,20.89,-156.47,73.4,19.46
188,nevsehir,20,TR,1526363400,51,38.62,34.71,62.6,5.82
189,san quintin,40,PH,1526364000,70,17.54,120.52,91.4,6.93
190,lunglei,80,IN,1526365327,73,22.89,92.75,78.16,2.06
191,balkanabat,88,TM,1526365327,74,39.51,54.36,67.99,2.28
192,baykit,76,RU,1526365327,70,61.68,96.39,40.36,5.41
193,khatanga,92,RU,1526364835,100,71.98,102.47,27.31,14.47
194,kisangani,80,CD,1526365329,100,0.52,25.21,71.32,2.95
195,san rafael,0,AR,1526365045,83,-34.61,-68.33,35.23,2.39
196,broome,75,GB,1526363940,100,52.47,1.45,51.8,10.29
197,mar del plata,92,AR,1526364891,100,-46.43,-67.52,41.53,14.03
198,vaini,0,IN,1526364904,41,15.34,74.49,92.74,4.85
199,melfort,90,CA,1526360400,50,52.87,-104.61,53.6,4.7
200,conde,76,BR,1526365331,83,-11.81,-37.61,78.88,9.44
201,nouadhibou,0,MR,1526364000,88,20.93,-17.03,62.6,14.99
202,la ronge,90,CA,1526361840,65,55.1,-105.3,46.4,8.05
203,riviere-au-renard,75,CA,1526360400,93,49.0,-64.4,37.4,4.7
204,portland,1,US,1526363580,72,45.52,-122.67,73.4,4.7
205,provideniya,90,RU,1526362200,80,64.42,-173.23,30.2,4.47
206,garden city,90,US,1526363520,100,40.73,-73.63,60.8,9.17
207,kodiak,1,US,1526359980,83,39.95,-94.76,71.6,8.05
208,yar-sale,24,RU,1526364921,100,66.83,70.83,17.59,14.7
209,hondo,40,US,1526362500,65,29.35,-99.14,78.8,11.41
210,lagoa,0,PT,1526362200,59,37.14,-8.45,64.4,16.11
211,prachuap khiri khan,20,TH,1526365336,64,11.81,99.79,91.21,2.39
212,codajas,76,BR,1526365337,96,-3.84,-62.06,75.73,5.64
213,angoram,56,PG,1526365337,76,-4.06,144.07,86.26,2.62
214,serebryansk,90,KZ,1526360400,38,49.68,83.3,60.8,15.66
215,saldanha,0,PT,1526365069,86,41.42,-6.55,37.12,4.18
216,port shepstone,92,ZA,1526365339,100,-30.74,30.45,63.94,14.47
217,okhotsk,92,RU,1526364943,99,59.36,143.24,34.96,17.83
218,tevaitoa,36,PF,1526364987,100,-16.78,-151.5,80.41,12.01
219,nemuro,40,JP,1526360400,67,43.32,145.57,60.8,11.41
220,betare oya,92,CM,1526365341,97,5.6,14.08,67.99,4.18
221,kuching,75,MY,1526364000,74,1.56,110.34,87.8,3.36
222,teguldet,92,RU,1526365342,98,57.31,88.17,43.6,9.89
223,geraldton,75,CA,1526360400,64,49.72,-86.95,37.4,8.05
224,cidreira,8,BR,1526364861,91,-30.17,-50.22,59.98,7.76
225,marsh harbour,92,BS,1526365343,97,26.54,-77.06,78.16,18.5
226,maracaju,0,BR,1526365344,94,-21.61,-55.17,66.46,6.76
227,toora-khem,56,RU,1526365344,48,52.47,96.11,43.33,3.62
228,ashitkovo,44,RU,1526365345,42,57.12,28.75,71.23,2.39
229,san cristobal,40,EC,1526364000,93,-0.39,-78.55,46.4,1.12
230,vyshneve,0,UA,1526364000,77,50.39,30.37,60.8,6.71
231,port lincoln,0,AU,1526365347,90,-34.72,135.86,60.61,16.71
232,bathsheba,40,BB,1526364000,78,13.22,-59.52,78.8,21.92
233,turbat,0,PK,1526365348,44,26.0,63.05,94.45,4.97
234,tarija,0,BO,1526365348,79,-21.53,-64.73,39.91,5.08
235,oussouye,75,SN,1526364000,94,12.49,-16.54,69.8,4.7
236,faya,5,SA,1526360400,27,18.39,42.45,77.0,5.82
237,tawang,68,BT,1526365349,47,27.59,91.87,55.84,1.61
238,russell,75,AR,1526364000,62,-33.01,-68.8,57.2,9.17
239,katsuura,75,JP,1526360400,44,33.93,134.5,80.6,9.17
240,luderitz,0,NA,1526364799,60,-26.65,15.16,59.71,9.66
241,dikson,24,RU,1526364851,99,73.51,80.55,17.32,19.51
242,gazli,24,UZ,1526365352,71,40.13,63.45,72.13,13.24
243,pokaran,0,IN,1526365352,29,26.93,71.92,101.11,8.21
244,kochi,40,IN,1526362200,66,9.96,76.25,89.6,6.93
245,mount gambier,80,AU,1526365077,72,-37.83,140.78,53.95,7.31
246,panama city,20,US,1526363760,94,30.16,-85.65,71.6,5.82
247,jamestown,92,AU,1526364802,66,-33.21,138.6,59.26,8.32
248,yaan,20,NG,1526365129,91,7.38,8.57,76.18,9.22
249,mariestad,0,SE,1526363400,58,58.71,13.82,59.0,4.7
250,bonthe,76,SL,1526365356,90,7.53,-12.5,78.97,2.51
251,college,40,US,1526363880,70,64.86,-147.8,50.0,9.17
252,nizwa,0,OM,1526365357,34,22.93,57.53,92.11,3.96
253,arbazh,32,RU,1526365358,40,57.68,48.31,69.34,9.78
254,airai,32,TL,1526364810,55,-8.93,125.41,81.85,2.39
255,kirkwood,0,ZA,1526362380,93,-33.4,25.44,51.8,2.24
256,klyuchevskiy,80,RU,1526365360,48,53.53,119.45,55.12,4.52
257,saint-augustin,90,FR,1526362200,93,44.83,-0.61,57.2,8.05
258,lauterbach,75,DE,1526361600,71,50.63,9.4,53.6,2.24
259,west bay,90,GB,1526363400,100,50.71,-2.76,53.6,6.93
260,faanui,76,PF,1526364800,100,-16.48,-151.75,81.31,14.03
261,dabat,0,ET,1526365362,29,12.98,37.77,78.88,2.39
262,comodoro rivadavia,90,AR,1526364000,87,-45.87,-67.48,44.6,11.41
